"description","units","source key","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020"
"Utah : industrial","number of customers","ELEC.CUSTOMERS.UT-IND.M",9342,9348,9340,9402,9474,9497,9512,9524,9508,9466,9362,9340,9416,9408,9392,9481,9526,9568,9576,9569,9563,9493,9389,9369,9364,9349,9390,9402,9445,9509,9531,9533,9491,9461,9350,9337,9323,9311,9329,9357,9382,9437,9447,9453,9443,9432,9321,9296,9302,9295,9301,9371,9401,9450,9450,9486,9480,9451,9511,9501,9501,9510,9538,9619,9691,9728,9728,9725,9693,9673,9574,9552,9554,9550,9581,9663,9693,9737,9735,9738,9732,9704,9584,9599,8679,8695,9696,9738,9759,9793,9803,9791,9793,9769,9668,9663,9490,9489,9529,9561,9592,9646,9652,9650,9634,9568,9531,9487,9493,9489,9511,9566,9602,9656,9674,9681,9678,9615,9575,9567,9558,9575,9596,9633,9660,9717,9747,9761,9765,9691,9639,9627,9829,9816,9821,9877,9948,9966,10896,10917,10806,10759,10805,10682,10570,10568,10616,10624,10652,10698,10701,10767,10711,10926,10563
"Utah : transportation","number of customers","ELEC.CUSTOMERS.UT-TRA.M",8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Utah : other","number of customers","ELEC.CUSTOMERS.UT-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming","number of customers","ELEC.CUSTOMERS.WY-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wyoming : all sectors","number of customers","ELEC.CUSTOMERS.WY-ALL.M",317175,317619,319170,319687,320243,320585,323321,322635,323507,323691,321685,324627,321119,321984,323430,322874,322818,323771,324178,324295,324555,324993,322716,327224,325287,326650,327957,325188,326797,326516,327305,326351,326166,325575,325207,323266,325808,325495,327929,325925,325928,328140,327055,328622,328538,328491,328304,329329,328315,328967,329478,329927,328908,329277,329535,331327,329573,330706,329606,329837,332278,330632,330571,330861,331276,331203,331757,332362,332022,333386,332433,332268,333475,332613,333215,332960,333710,331679,334418,337261,335122,335528,335027,335583,335152,335638,335971,336187,336257,336268,336649,336645,337244,337326,336908,337418,336559,336598,337865,337339,337398,338056,337487,338225,338466,337989,338418,338451,338684,338581,339453,338945,339626,339097,339570,339704,338976,339697,339498,340560,340602,340296,340976,340975,341345,341854,342228,342485,341892,342213,342758,342584,343265,342768,343416,343671,344312,344344,344890,344756,344927,346294,345480,345849,347282,347256,347045,348064,347634,348235,349196,348814,349367,346614,349002
"Wyoming : residential","number of customers","ELEC.CUSTOMERS.WY-RES.M",251044,251413,251771,251968,252367,252464,253755,253236,253904,255054,253300,255568,253617,254319,255150,255244,254903,254964,255220,255374,255593,256627,254776,258798,257183,258269,258787,257166,258395,257909,257884,257338,257170,257305,256972,254993,257534,257360,259012,257627,257481,259198,257764,259045,258989,259142,259006,260174,259602,260176,260575,260940,260107,260547,261010,262983,261871,262605,261735,262146,263731,262644,262927,263274,263303,263243,263527,263828,263575,264847,264195,264210,265168,264488,264872,264983,265105,265069,265471,267440,266026,266473,266462,267052,266945,267426,267892,267940,267860,268117,268362,268411,268743,268955,268760,269298,268771,268958,269837,269401,269401,269730,269377,269819,270039,269805,270150,270473,270097,270173,270773,270442,270910,269944,270626,270525,270053,270796,270708,271856,271534,271503,271958,271952,272048,272316,272524,272777,272548,273206,273450,273326,274088,273859,274286,274341,274727,274482,274936,274825,274923,276322,275726,276040,278114,278205,278324,279027,278638,279028,279805,279559,279975,277286,279878
"Wyoming : commercial","number of customers","ELEC.CUSTOMERS.WY-COM.M",57580,57670,58075,59133,59271,59463,60117,59927,60150,59933,59736,60403,58868,59032,58987,58957,59238,59508,59642,59587,59629,59651,59291,59760,59474,59738,59757,59378,59753,59939,59959,59538,59519,59555,59566,59532,59538,59388,59686,59518,59654,60138,60020,60294,60272,60062,60019,59842,59662,59687,59787,59864,59650,59585,59351,59149,58519,58895,58624,58431,58528,57959,57602,57580,57828,57792,58031,58323,58239,58347,58072,57855,58084,57916,58103,57645,58272,56279,58575,59440,58697,58644,58272,58165,57762,57760,57585,57732,57848,57556,57686,57596,57832,57696,57643,57538,57171,57015,57367,57264,57359,57649,57446,57696,57736,57491,57731,57286,57731,57542,57776,57618,57765,58151,57971,58156,57917,58013,57956,57751,58134,58019,58230,58064,58319,58514,58675,58657,58333,58111,58465,58272,58068,57840,58022,57997,58220,58462,58530,58496,58586,58694,58554,58421,59300,59206,58358,59092,59098,59289,59445,59317,59237,57877,59052
"Wyoming : industrial","number of customers","ELEC.CUSTOMERS.WY-IND.M",8551,8536,9324,8586,8605,8658,9449,9472,9453,8704,8649,8656,8634,8633,9293,8673,8677,9299,9316,9334,9333,8715,8649,8666,8630,8643,9413,8644,8649,8668,9462,9475,9477,8715,8669,8741,8736,8747,9231,8780,8793,8804,9271,9283,9277,9287,9279,9313,9051,9104,9116,9123,9151,9145,9174,9195,9183,9206,9247,9260,10019,10029,10042,10007,10145,10168,10199,10211,10208,10192,10166,10203,10223,10209,10240,10332,10333,10331,10372,10381,10399,10411,10293,10366,10445,10452,10494,10515,10549,10595,10601,10638,10669,10675,10505,10582,10617,10625,10661,10674,10638,10677,10664,10710,10691,10693,10537,10692,10856,10866,10904,10885,10951,11002,10973,11023,11006,10888,10834,10953,10934,10774,10788,10959,10978,11024,11029,11051,11011,10896,10843,10986,11109,11069,11108,11333,11365,11400,11424,11435,11418,11278,11200,11388,9868,9845,10363,9945,9898,9918,9946,9938,10155,11451,10072
"Wyoming : transportation","number of customers","ELEC.CUSTOMERS.WY-TRA.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wyoming : other","number of customers","ELEC.CUSTOMERS.WY-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Contiguous","number of customers","ELEC.CUSTOMERS.PCC-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pacific Contiguous : all sectors","number of customers","ELEC.CUSTOMERS.PCC-ALL.M",20266353,19437574,19778437,19751664,19755375,19806181,20086616,19908262,19818294,20360838,19111539,20302008,19595826,19320258,19879118,20040859,19665489,20065127,20134154,19895266,19885901,20126267,19349912,20369199,19497003,19400570,20108304,20206173,19825550,19822203,19997443,20046658,20027342,20148226,19612718,20522012,19498781,19417345,20544176,19723233,20022276,20272632,19967198,20406016,20088190,20047519,19814223,20315362,20054478,19860668,20386783,19870809,20402976,20138838,20174054,20700956,19864219,20504079,19922280,19925635,20499900,19705747,20472924,20055304,20547046,20199246,20378751,20572095,19941103,20849233,19684653,20521091,20261727,19702604,20282858,20288163,20309692,20310397,20608126,20242320,20209394,20902539,19775708,20691636,20385086,19899069,20699964,20427180,20397664,20529367,21010063,20239792,20527311,20797504,19973755,21062804,20446078,20083591,21137290,20310997,20610950,20897079,20559540,20755110,20692647,20684249,20421484,20980558,20719242,20192667,21308007,20395555,20870530,21072261,20527861,21144065,20584643,21157535,20862191,21038446,20986392,20387599,21196125,20671942,21281791,21042952,21003967,21281011,20669280,21161812,20766234,21025302,21305545,19742105,21310484,21006882,21496927,21098381,21384002,21239430,20975275,21862527,20750260,21568155,21548594,20717754,21547635,21345992,21176906,21466381,21885787,21149884,21390774,21366138,20838754
"Pacific Contiguous : residential","number of customers","ELEC.CUSTOMERS.PCC-RES.M",17697178,16986312,17274633,17258609,17253431,17300336,17524330,17373071,17288983,17785717,16692345,17735053,17111860,16877082,17350506,17503351,17180191,17518638,17571051,17362165,17355913,17578914,16910724,17802109,17028517,16937544,17539937,17640817,17320352,17317752,17444418,17489678,17473521,17596772,17120791,17917096,17016195,16960268,17943576,17239126,17483082,17706677,17442675,17807254,17538501,17504676,17307944,17739845,17514660,17354131,17804120,17360594,17813800,17591958,17607798,18080719,17360139,17886617,17392644,17397806,17956667,17266990,17955854,17554347,17989603,17719686,17828818,18025905,17513524,18321517,17289534,18024283,17792296,17312316,17816623,17825689,17841799,17844639,18096292,17809542,17730145,18361456,17407620,18156249,17916361,17499370,18192979,17952271,17952445,18016603,18459449,17788142,18037425,18275848,17557583,18512508,17999539,17643013,18583297,17855706,18118599,18374247,18094916,18222585,18184216,18177681,17951416,18445414,18218104,17759354,18735764,17960844,18332942,18535751,18052184,18582878,18092861,18605642,18347799,18518058,18422949,17922065,18632129,18171674,18705330,18488025,18460890,18702841,18187297,18584684,18258399,18482787,18732505,17273811,18773223,18473057,18908310,18583589,18794018,18684986,18457977,19239580,18262370,18981770,18956458,18230668,18956095,18781037,18651590,18873908,19259886,18618596,18828314,18809882,18345455
"Pacific Contiguous : commercial","number of customers","ELEC.CUSTOMERS.PCC-COM.M",2449425,2331831,2371727,2371754,2377571,2381199,2425430,2398116,2392856,2450234,2299547,2448026,2362499,2321934,2396049,2414680,2359254,2409813,2426706,2396660,2394039,2422234,2319268,2446861,2349910,2344207,2435624,2444320,2382097,2381144,2416261,2419762,2417028,2428568,2373303,2484656,2365906,2339939,2474295,2365164,2417355,2443660,2395157,2468501,2419940,2413808,2380408,2449415,2418667,2384183,2459640,2387256,2462872,2421153,2440097,2493254,2378111,2490880,2404100,2402794,2327278,2239041,2307432,2291382,2340812,2267213,2331461,2326963,2222546,2308936,2199823,2289053,2269722,2202785,2269358,2262079,2266216,2261770,2301342,2233285,2276134,2329155,2182450,2328651,2270491,2209486,2303248,2273325,2245285,2303451,2337596,2250608,2284880,2312534,2224868,2342898,2251380,2245109,2344372,2258247,2289606,2314892,2264522,2320893,2303960,2302807,2275607,2331003,2303456,2244451,2365442,2244483,2332633,2331765,2280551,2351399,2293211,2345410,2316417,2321826,2359082,2277344,2361700,2305018,2369635,2350889,2339837,2370264,2287794,2369934,2312225,2342436,2370908,2279910,2341152,2338437,2382194,2317034,2382790,2350698,2319749,2414549,2297859,2383464,2386858,2295615,2386948,2360952,2324948,2384480,2412770,2329530,2357653,2356899,2297395
"Pacific Contiguous : industrial","number of customers","ELEC.CUSTOMERS.PCC-IND.M",119245,118921,131555,120778,123852,124120,136304,136522,135900,124319,119102,118371,120930,120696,132014,122276,125487,136119,135840,135883,135391,124561,119361,119670,118498,118742,132665,120958,123023,123229,136686,137140,136718,122811,118549,120182,116656,117114,126281,118919,121815,122271,129342,130238,129727,129013,125849,126080,121129,122332,123001,122937,126282,125705,126137,126961,125946,126560,125513,125013,215933,199694,209615,209553,216608,212325,218449,219205,205010,218758,195273,207732,199685,187479,196853,200372,201654,203965,210468,199470,203091,211905,185615,206713,198214,190193,203716,201563,199912,209291,212996,201021,204985,209101,191283,207378,195138,195445,209597,197022,202722,207917,200079,211610,204448,203738,194438,204118,197659,188839,206778,190205,204932,204722,195103,209765,198548,206460,197952,198539,204341,188170,202276,195230,206806,204018,203220,207886,194169,207174,195590,200059,202113,188365,196090,195369,206404,197739,207175,203727,197530,208379,190011,202901,205258,191451,204572,203983,200348,207973,213112,201739,204788,199338,195885
"Pacific Contiguous : transportation","number of customers","ELEC.CUSTOMERS.PCC-TRA.M",505,510,522,523,521,526,552,553,555,568,545,558,537,546,549,552,557,557,557,558,558,558,559,559,78,77,78,78,78,78,78,78,75,75,75,78,24,24,24,24,24,24,24,23,22,22,22,22,22,22,22,22,22,22,22,22,23,22,23,22,22,22,23,22,23,22,23,22,23,22,23,23,24,24,24,23,23,23,24,23,24,23,23,23,20,20,21,21,22,22,22,21,21,21,21,20,21,24,24,22,23,23,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,19,19,19,19,19
"Pacific Contiguous : other","number of customers","ELEC.CUSTOMERS.PCC-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"California","number of customers","ELEC.CUSTOMERS.CA-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California : all sectors","number of customers","ELEC.CUSTOMERS.CA-ALL.M",15256818,14421483,14739587,14723652,14722097,14777028,15030516,14844781,14757787,15290906,14100214,15256613,14546581,14271165,14796953,14976204,14594119,14998213,15045987,14816376,14801842,15036554,14303681,15286390,14425408,14328274,14995778,15114494,14737258,14741602,14889892,14927929,14908682,15056574,14529764,15396947,14414885,14337141,15406252,14619445,14907043,15162190,14854605,15272227,14953908,14928576,14699025,15176713,14955267,14724706,15236886,14742818,15255165,15008651,15029199,15538841,14734362,15332911,14788497,14778414,15322399,14540191,15293895,14888061,15366312,15043424,15193646,15397845,14762204,15637371,14507211,15337951,15060078,14523185,15073479,15084080,15083154,15107788,15374460,15020514,14977081,15652839,14542942,15451085,15138785,14629466,15427004,15159714,15125630,15256941,15720942,14964196,15224295,15481187,14698328,15746872,15166190,14782087,15775802,14995482,15279287,15551664,15233219,15387208,15313707,15312255,15049084,15586228,15339219,14804762,15876464,14995811,15434973,15636969,15101048,15682828,15154120,15683871,15411878,15583644,15511724,14931678,15708065,15201221,15758383,15503561,15497808,15754331,15183190,15637077,15247927,15521134,15743641,14231698,15754427,15464390,15915914,15545558,15789103,15687204,15421897,16198230,15161226,15967442,15908633,15106288,15927585,15654795,15524232,15807084,16198988,15485000,15709011,15703199,15175558
"California : residential","number of customers","ELEC.CUSTOMERS.CA-RES.M",13310410,12591907,12874123,12852393,12851201,12900582,13113436,12954443,12874864,13351774,12308385,13317082,12694042,12454591,12912242,13070217,12746430,13096466,13131552,12929715,12920243,13127167,12495014,13352574,12590740,12497749,13077558,13184815,12871225,12874470,12990786,13024804,13010393,13144458,12674585,13433368,12566933,12512723,13453866,12771209,13009709,13237265,12979434,13323380,13056825,13034221,12840245,13249929,13054198,12858851,13298574,12872943,13314166,13105255,13110197,13566441,12876065,13364123,12905661,12896115,13426674,12744038,13423773,13030134,13460607,13209488,13294894,13499112,12984462,13761491,12757760,13484636,13236001,12773098,13253009,13259233,13260209,13281459,13508638,13230388,13142919,13756880,12815152,13555812,13312865,12872721,13565811,13329337,13329905,13391386,13822352,13161036,13389882,13614795,12930586,13847513,13362710,12984293,13874320,13187144,13437927,13679870,13418403,13509714,13468827,13467834,13239239,13711312,13498726,13031666,13971006,13221528,13568099,13768799,13293365,13794119,13331986,13803131,13565835,13731258,13618213,13131047,13815446,13369121,13862081,13636492,13631103,13854710,13374598,13734651,13413353,13652972,13849652,12436105,13897363,13606940,14012723,13710484,13885934,13813298,13586517,14265420,13356584,14064486,14019368,13316219,14036734,13797890,13703236,13917212,14282328,13658379,13854492,13836826,13384489
"California : commercial","number of customers","ELEC.CUSTOMERS.CA-COM.M",1868985,1752344,1787606,1792945,1792512,1798037,1838749,1812108,1804835,1861420,1714768,1862815,1775875,1740009,1807548,1828344,1770210,1824187,1837297,1809639,1804858,1833332,1733241,1858683,1760017,1755949,1842726,1853819,1790317,1791500,1823437,1827556,1822870,1837144,1780871,1889365,1775376,1751656,1879129,1774397,1823488,1851050,1801551,1874983,1823483,1821027,1786058,1854354,1827789,1792524,1864627,1796050,1866974,1829376,1844737,1897985,1784054,1894673,1809260,1809287,1728985,1645590,1709906,1697563,1742270,1674322,1733381,1732503,1625451,1710212,1604113,1695210,1676252,1613783,1675539,1677231,1676590,1677251,1710933,1645836,1686302,1739573,1594249,1740876,1679931,1618667,1710408,1681857,1651385,1712367,1741371,1658489,1685603,1713815,1629554,1744757,1660512,1654864,1745352,1664692,1692977,1718839,1668812,1721377,1695094,1695324,1667297,1722735,1692969,1634348,1749632,1634568,1715856,1717810,1666164,1733550,1677412,1727415,1698332,1704764,1739799,1661426,1739914,1687743,1742735,1717002,1717027,1745783,1667525,1748033,1690494,1720988,1742764,1657088,1711734,1714499,1749629,1690196,1749143,1723282,1690345,1776717,1665529,1752256,1738847,1652902,1740883,1709789,1676676,1738534,1760397,1681322,1706103,1718859,1648986
"California : industrial","number of customers","ELEC.CUSTOMERS.CA-IND.M",76967,76771,77385,77840,77912,77932,77828,77726,77581,77192,76566,76209,76178,76072,76670,77148,76983,77065,76643,76526,76245,75560,74931,74638,74638,74563,75480,75846,75702,75618,75655,75555,75408,74961,74297,74200,72563,72749,73244,73826,73833,73862,73607,73852,73587,73315,72709,72417,73268,73319,73673,73813,74013,74008,74253,74403,74231,74103,73564,73000,166727,150550,160203,160351,163422,159601,165358,166217,152278,165655,145325,158092,147812,136291,144918,147603,146342,149065,154876,144277,147847,156373,133528,154384,145977,138066,150773,148507,144327,153175,157206,144658,148797,152564,138175,154589,142955,142914,156114,143631,148368,152940,145989,156102,149771,149082,142533,152166,147509,138733,155811,139700,151003,150345,141504,155144,144707,153310,147696,147607,153700,139193,152693,144345,153555,150055,149666,153826,141055,154381,144068,147162,151213,138493,145318,142939,153550,144866,154014,150612,145023,156081,139100,150687,150405,137154,149955,147103,144307,151325,156251,145287,148404,147502,142071
"California : transportation","number of customers","ELEC.CUSTOMERS.CA-TRA.M",456,461,473,474,472,477,503,504,507,520,495,507,486,493,493,495,496,495,495,496,496,495,495,495,13,13,14,14,14,14,14,14,11,11,11,14,13,13,13,13,13,13,13,12,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,13,13,13,13,13,13,13,13,13,13,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,12,12,12,12,12
"California : other","number of customers","ELEC.CUSTOMERS.CA-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon","number of customers","ELEC.CUSTOMERS.OR-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon : all sectors","number of customers","ELEC.CUSTOMERS.OR-ALL.M",1864047,1866872,1872197,1868697,1872888,1873232,1879590,1880361,1880539,1879116,1872141,1873047,1874649,1876182,1882201,1877752,1881936,1884049,1886067,1885230,1887199,1885893,1880161,1884493,1882127,1883329,1890250,1886470,1889481,1888774,1894897,1896218,1896880,1891525,1889396,1893262,1889126,1888522,1896685,1891338,1895253,1894836,1896696,1899200,1899942,1899494,1898243,1899698,1895763,1899382,1901124,1900189,1904716,1902543,1904183,1906727,1904231,1909347,1905873,1908238,1905110,1903694,1905386,1905975,1909127,1907268,1910429,1910262,1912122,1915820,1912805,1914552,1915589,1914078,1917682,1916616,1922191,1920870,1924431,1924984,1926447,1929306,1927477,1928034,1929811,1930923,1934672,1935182,1939070,1940105,1943736,1944144,1948278,1950919,1947654,1951476,1949606,1952865,1959051,1956188,1959970,1964504,1961580,1967398,1970009,1970625,1970355,1973188,1970143,1972193,1977665,1976509,1984615,1986264,1986622,1989859,1988258,1993030,1990735,1993187,1995601,1995775,1999803,2000655,2038967,2049552,2010039,2013539,2004556,2013634,2015334,2018575,2020566,2016887,2020750,2021868,2026450,2025644,2033273,2030488,2033388,2043505,2038961,2041459,2065086,2063275,2066438,2074945,2073387,2075645,2080405,2079912,2078917,2061071,2081059
"Oregon : residential","number of customers","ELEC.CUSTOMERS.OR-RES.M",1612317,1614875,1614728,1615761,1615911,1616085,1617087,1617780,1617707,1620597,1616644,1619664,1620155,1621750,1623443,1622649,1623042,1621750,1623180,1622607,1624020,1626462,1623630,1627948,1625259,1626426,1629048,1628843,1628628,1628002,1628788,1630051,1630402,1629862,1629977,1633612,1630694,1630974,1635034,1632802,1633378,1632740,1631817,1634188,1634476,1634328,1635172,1636953,1636333,1640586,1642068,1641180,1642101,1640651,1641939,1644229,1641865,1646671,1644484,1647192,1645940,1646210,1647347,1648725,1649289,1648147,1650819,1650925,1652527,1656208,1655662,1657788,1658873,1658520,1661963,1666695,1669096,1668389,1671151,1671710,1673090,1675879,1676379,1677718,1678134,1679523,1682477,1682871,1683779,1684928,1687621,1688201,1691492,1694135,1693083,1697439,1695900,1699089,1704131,1701192,1703486,1707841,1704701,1709782,1711088,1711939,1713597,1716702,1714876,1716737,1721629,1720676,1725063,1726613,1726855,1729656,1728135,1732863,1732586,1734913,1737136,1737789,1741231,1741430,1771899,1773581,1747046,1750277,1742747,1752028,1753992,1753714,1755681,1752763,1755945,1757286,1760481,1760338,1766770,1764317,1767063,1776735,1773000,1775020,1795442,1794109,1796845,1804221,1802736,1805024,1808860,1808607,1807466,1792643,1810249
"Oregon : commercial","number of customers","ELEC.CUSTOMERS.OR-COM.M",232772,233186,234016,233927,234496,234500,235122,235145,235426,235728,235638,234367,235479,235487,236062,235935,236199,235852,236417,236116,236660,236670,236698,237152,237590,237388,237873,237827,238277,238270,238730,238676,239036,238941,239215,239559,238394,237486,238758,238306,238867,238968,239022,239067,239538,239306,239555,239562,237963,237231,237489,237334,238100,237450,237783,237907,237851,238094,237961,238197,237441,235775,236253,235378,235017,234265,234663,234442,234770,234920,234658,234647,235016,233958,233933,227767,228449,227802,228436,228485,228556,228638,228622,228274,228136,227881,228404,228421,228876,228588,229504,229277,230077,230093,229977,230131,230062,230131,231125,230933,230954,231013,231219,231812,233222,233051,233340,233455,232454,232682,233161,232924,233833,233779,233924,234255,234249,234685,234864,235074,235240,235317,235793,235823,241386,250125,237160,237373,236043,235915,236127,239002,240150,239556,240184,239483,240444,239778,240872,240470,240727,241611,241260,241296,243371,242957,243296,243897,243668,243531,244401,244208,244424,243329,244652
